Long,Lat
-77.775993,-4.001817
-77.825775,-3.84687
-77.753677,-3.716007
-77.723637,-3.876313
-77.759857,-3.876129
-77.741318,-3.763998
-77.812042,-3.61462
-77.665787,-3.893484
-77.829895,-3.943492
-77.757111,-3.832512
-77.793503,-3.575558
-77.76329,-3.598858
-77.761917,-3.662588
-77.724838,-3.731795
-77.748184,-3.781127
